#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
5977,Vb-431.MD140-S1NDE-RMS,431.MD140,2026-04-29,0.5,,0.39,0.32
5978,Vb-431.MD140-S2DE-RMS,431.MD140,2026-04-29,0.56,,0.5,0.32
5979,Vb-431.MD140-S2NDE-RMS,431.MD140,2026-04-29,0.62,,0.43,0.39
5980,Vb-431.MD140-S3DE-RMS,431.MD140,2026-04-29,0.58,,0.45,0.26
5981,Vb-431.MD140-S3NDE-RMS,431.MD140,2026-04-29,0.64,,0.46,0.49
5982,Vb-431.MD140-S4DE-RMS,431.MD140,2026-04-29,0.62,,0.44,0.29
5983,Vb-431.MD140-S4NDE-RMS,431.MD140,2026-04-29,0.55,,0.42,0.28
5984,Vb-431.MD160-MDE-RMS,431.MD160,2026-04-29,0.51,,0.75,0.81
5985,Vb-431.MD160-MNDE-RMS,431.MD160,2026-04-29,0.4,,0.5,0.4
5986,Vb-431.MD160-S1DE-RMS,431.MD160,2026-04-29,0.64,,0.52,0.5
5987,Vb-431.MD160-S1NDE-RMS,431.MD160,2026-04-29,0.62,,0.4,0.43
5988,Vb-431.MD160-S2DE-RMS,431.MD160,2026-04-29,0.63,,0.44,0.24
5989,Vb-431.MD160-S2NDE-RMS,431.MD160,2026-04-29,0.53,,0.37,0.39
5990,Vb-431.MD160-S3DE-RMS,431.MD160,2026-04-29,0.56,,0.34,0.37
5991,Vb-431.MD160-S3NDE-RMS,431.MD160,2026-04-29,0.48,,0.36,0.31
5992,Vb-431.MD160-S4DE-RMS,431.MD160,2026-04-29,0.81,,0.52,0.41
5993,Vb-431.MD160-S4NDE-RMS,431.MD160,2026-04-29,0.78,,0.43,0.41
5994,Vb-431.FN171-FDE-RMS,431.FN171,2026-04-29,0.87,,1.24,0.44
5995,Vb-431.FN171-FNDE-RMS,431.FN171,2026-04-29,0.99,,1.47,0.86
5996,Vb-431.FN171-MDE-RMS,431.FN171,2026-04-29,1.38,,1.39,1.03
5997,Vb-431.FN171-MNDE-RMS,431.FN171,2026-04-29,0.79,,0.99,0.56
5998,Vb-431.FN176-FDE-RMS,431.FN176,2026-04-29,1.41,,1.54,1.07
5999,Vb-431.FN176-FNDE-RMS,431.FN176,2026-04-29,1.55,,1.79,2.35
6000,Vb-431.FN176-MDE-RMS,431.FN176,2026-04-29,1.19,,1.75,1.68
6001,Vb-431.FN176-MNDE-RMS,431.FN176,2026-04-29,0.98,,1.05,0.61
6002,Vb-111.HC100-MDE-RMS,111.HC100,2026-01-31,0.24,,1.03,1.05
6003,Vb-111.HC100-MNDE-RMS,111.HC100,2026-01-31,0.22,,0.39,0.13
6004,Vb-111.HC100-RDE-RMS,111.HC100,2026-01-31,1.07,,0.98,0.89
6005,Vb-111.HC100-RNDE-RMS,111.HC100,2026-01-31,0.98,,1.11,0.67
6006,Vb-111.HC100-S1DE-RMS,111.HC100,2026-01-31,0.73,,0.97,0.64
6007,Vb-111.HC100-S1NDE-RMS,111.HC100,2026-01-31,0.87,,1.33,0.61
6008,Vb-111.HC100-S2DE-RMS,111.HC100,2026-01-31,0.98,,0.94,1.22
6009,Vb-111.HC100-S2NDE-RMS,111.HC100,2026-01-31,0.99,,0.9,1.23
6010,Vb-461.FN400-FDE-RMS,461.FN400,2026-04-30,1.76,,1.44,0.85
6011,Vb-461.FN400-FNDE-RMS,461.FN400,2026-04-30,1.31,,1.37,0.73
6012,Vb-461.FN400-MDE-RMS,461.FN400,2026-04-30,0.7,,0.8,0.64
6013,Vb-461.FN400-MNDE-RMS,461.FN400,2026-04-30,0.65,,0.52,0.37
6014,Vb-431.FN560-MDE-RMS,431.FN560,2026-04-29,1.53,,1.61,1.66
6015,Vb-431.FN560-MNDE-RMS,431.FN560,2026-04-29,1.46,,1.17,1.32
6016,,441.WI001,2026-04-29,2.34,,1.96,2.28
6017,,441.WI001,2026-04-29,2.36,,1.54,2.45
6018,,761.WI210,2026-04-08,3.96,,3.27,5.27
6019,,761.WI210,2026-04-08,6.85,,1.92,8.43
6020,,441.WI002,2026-04-29,2.16,,1.55,1.79
6021,,441.WI002,2026-04-29,1.47,,1.39,1.9
6022,,761.WI211,2026-04-08,2.74,,3.39,2.21
6023,,761.WI211,2026-04-08,1.88,,0.86,1.71
6024,,441.WI003,2026-04-29,1.67,,1.35,1.75
6025,,441.WI003,2026-04-29,2.18,,1.56,1.28
6026,,761.WI212,2026-04-08,2.95,,3.11,4.34
6027,,761.WI212,2026-04-08,6.81,,1.83,8.88
6028,,441.WI004,2026-04-29,3.12,,1.56,2.87
6029,,441.WI004,2026-04-29,2.47,,1.8,3.25
6030,,761.WI213,2026-04-08,9.19,,3.74,3.5
6031,,761.WI213,2026-04-08,7.95,,0.78,5.4
6032,,761.WI214,2026-04-08,4.97,,8.63,6.81
6033,,761.WI214,2026-04-08,5.64,,0.94,4.42
6034,,761.WI215,2026-02-14,4.49,,9.66,3.06
6035,,761.WI215,2026-02-14,5.05,,2.85,5.83
6036,,761.WI216,2026-04-08,4.03,,2.89,6.56
6037,,761.WI216,2026-04-08,2.67,,6.07,7.02
6038,Vb-451.FN010-FDE-RMS,451.FN010,2026-04-26,0.88,,0.55,0.87
6039,Vb-451.FN010-FNDE-RMS,451.FN010,2026-04-26,0.52,,0.77,0.68
6040,Vb-451.FN010-MDE-RMS,451.FN010,2026-04-26,0.5,,1.36,1.14
6041,Vb-451.FN010-MNDE-RMS,451.FN010,2026-04-26,0.57,,0.57,0.45
6042,Vb-321.MD140-MDE-RMS,321.MD140,2026-04-14,1.42,,1.9,2.28
6043,Vb-321.MD140-MNDE-RMS,321.MD140,2026-04-14,1.33,,0.8,1.68
6044,Vb-321.MD140-GBHSS1,321.MD140,2026-04-14,,4,,
6045,Vb-321.MD140-GBHSS6,321.MD140,2026-04-14,,0.64,,
6046,Vb-321.MD140-GBHSS0,321.MD140,2026-04-14,,0.3,,
6047,Vb-321.MD140-RG3,321.MD140,2026-04-14,,0.2,,
